NAME,FPL,tcal_left,tcal_right,zpos,tdc_underflow,tdc_overflow,t_fpl,tleft_geo,tleft_ch,tright_geo,tright_ch,q_fpl,qleft_geo,qleft_ch,qright_geo,qright_ch,tslew_left_a,tslew_left_b,tslew_right_a,tslew_right_b,qtc_underflow,qtc_overflow,qtc_fpl,qtcleft_geo,qtcleft_ch,qtcright_geo,qtcright_ch,multdc_underflow,multdc_overflow,mult_fpl,multleft_geo,multleft_ch,multright_geo,multright_ch
F3pl,3,0.024413,0.024413,-205,194000,198000,63,6,0,6,1,63,4,0,4,2,0,0,0,0,188000,210000,63,6,16,6,17,0,400000,63,6,0,6,1
F5pl,5,0.024413,0.024413,-170,-999999,999999,63,6,2,6,3,63,4,4,4,6,0,0,0,0,190000,210000,63,6,18,6,19,0,400000,63,6,2,6,3
F7pl,7,0.024413,0.024413,205,192000,196000,63,6,4,6,5,63,4,8,4,10,0,0,0,0,190000,210000,63,6,20,6,21,0,400000,63,6,4,6,5
F8pl,8,0.024413,0.024413,-932,190000,194000,63,6,6,6,7,63,4,12,4,24,0,0,0,0,190000,210000,63,6,22,6,23,0,400000,63,6,6,6,7
F11pl-1,11,0.024413,0.024413,-432,195000,210000,63,6,9,6,8,63,4,18,4,16,0,0,0,0,190000,210000,63,6,25,6,24,0,400000,63,6,9,6,8
F11long,11,0.024413,0.024413,725,195000,210000,63,6,10,6,11,63,4,20,4,22,0,0,0,0,190000,210000,63,6,27,6,26,0,400000,63,6,10,6,11
F2pl,2,0.024413,0.024413,0,-999999,999999,63,6,-1,6,-1,63,-1,-1,-1,-1,0,0,0,0,190000,210000,63,6,28,6,29,0,400000,63,6,-1,6,-1
F13pl,13,0.024413,0.024413,0,-999999,999999,63,6,-1,6,-1,63,-1,-1,-1,-1,0,0,0,0,190000,210000,63,6,30,6,31,0,400000,63,6,-1,6,-1
F7Coin,63,0.024413,0.024413,0,-999999,999999,63,6,12,0,0,63,-1,-1,-1,-1,0,0,0,0,190000,210000,63,-1,-1,-1,-1,0,400000,63,6,12,0,0
F11Coin,63,0.024413,0.024413,0,-999999,999999,63,6,13,0,0,63,-1,-1,-1,-1,0,0,0,0,190000,210000,63,-1,-1,-1,-1,0,400000,63,6,13,0,0
GammOr,63,0.024413,0.024413,0,-999999,999999,63,6,14,0,0,63,-1,-1,-1,-1,0,0,0,0,190000,210000,63,-1,-1,-1,-1,0,400000,63,6,14,0,0
Accepted,63,0.024413,0.024413,0,-999999,999999,63,6,15,0,0,63,-1,-1,-1,-1,0,0,0,0,190000,210000,63,-1,-1,-1,-1,0,400000,63,6,15,0,0
